8,15/10/2011,Stoke,Fulham,2,0,H,48.323,28.977,22.7
8,15/10/2011,Wigan,Bolton,1,3,A,43.078,31.83,25.092
8,16/10/2011,Arsenal,Sunderland,2,1,H,66.388,21.789,11.823
8,16/10/2011,Newcastle,Tottenham,2,2,D,35.391,28.676,35.933
8,16/10/2011,West Brom,Wolves,2,0,H,48.538,29.754,21.708
9,22/10/2011,Aston Villa,West Brom,1,2,A,53.733,26.331,19.936
9,22/10/2011,Bolton,Sunderland,0,2,A,41.855,30.608,27.537
9,22/10/2011,Liverpool,Norwich,1,1,D,62.783,22.823,14.394
9,22/10/2011,Newcastle,Wigan,1,0,H,64.475,22.824,12.701
9,22/10/2011,Wolves,Swansea,2,2,D,36.105,30.417,33.478
9,23/10/2011,Arsenal,Stoke,3,1,H,50.087,27.542,22.371
9,23/10/2011,Blackburn,Tottenham,1,2,A,26.604,27.235,46.161
9,23/10/2011,Fulham,Everton,1,3,A,34.228,29.885,35.888
9,23/10/2011,Man United,Man City,1,6,A,53.376,24.971,21.653
9,23/10/2011,QPR,Chelsea,1,0,H,16.346,21.615,62.039
10,29/10/2011,Chelsea,Arsenal,3,5,A,67.949,21.769,10.283
10,29/10/2011,Everton,Man United,0,1,A,23.782,26.424,49.794
10,29/10/2011,Man City,Wolves,3,1,H,88.169,10.641,1.19
10,29/10/2011,Norwich,Blackburn,3,3,D,66.579,21.839,11.582
10,29/10/2011,Sunderland,Aston Villa,2,2,D,48.586,28.534,22.88
10,29/10/2011,Swansea,Bolton,3,1,H,41.467,30.291,28.241
10,29/10/2011,West Brom,Liverpool,0,2,A,40.13,28.669,31.201
10,29/10/2011,Wigan,Fulham,0,2,A,33.392,30.111,36.496
10,30/10/2011,Tottenham,QPR,3,1,H,69.326,20.476,10.198
10,31/10/2011,Stoke,Newcastle,1,3,A,33.491,28.654,37.854
11,05/11/2011,Arsenal,West Brom,3,0,H,66.54,21.366,12.093
11,05/11/2011,Aston Villa,Norwich,3,2,H,37.931,29.381,32.688
11,05/11/2011,Blackburn,Chelsea,0,1,A,19.852,24.527,55.621
11,05/11/2011,Liverpool,Swansea,0,0,D,68.106,21.158,10.736
11,05/11/2011,Man United,Sunderland,1,0,H,74.818,18.631,6.552
11,05/11/2011,Newcastle,Everton,2,1,H,68.93,20.552,10.518
11,05/11/2011,QPR,Man City,2,3,A,12.408,19.285,68.307
11,06/11/2011,Bolton,Stoke,5,0,H,42.382,30.391,27.227
11,06/11/2011,Fulham,Tottenham,1,3,A,24.65,26.569,48.781
11,06/11/2011,Wolves,Wigan,3,1,H,46.559,30.584,22.857
12,19/11/2011,Everton,Wolves,2,1,H,50.454,29.107,20.439
12,19/11/2011,Man City,Newcastle,3,1,H,62.439,25.23,12.331
12,19/11/2011,Norwich,Arsenal,1,2,A,22.276,25.244,52.48
12,19/11/2011,Stoke,QPR,2,3,A,42.349,31.29,26.362
12,19/11/2011,Sunderland,Fulham,0,0,D,43.438,31.535,25.028
12,19/11/2011,Swansea,Man United,0,1,A,17.861,22.546,59.593
12,19/11/2011,West Brom,Bolton,2,1,H,43.594,30.191,26.215
12,19/11/2011,Wigan,Blackburn,3,3,D,35.049,31.437,33.514
12,20/11/2011,Chelsea,Liverpool,1,2,A,52.844,26.58,20.576
12,21/11/2011,Tottenham,Aston Villa,2,0,H,70.263,20.145,9.592
13,26/11/2011,Arsenal,Fulham,1,1,D,80.315,15.61,4.075
13,26/11/2011,Bolton,Everton,0,2,A,30.524,29.311,40.164
13,26/11/2011,Chelsea,Wolves,3,0,H,61.308,24.446,14.246
13,26/11/2011,Man United,Newcastle,1,1,D,63.541,24.526,11.934
13,26/11/2011,Norwich,QPR,2,1,H,41.646,29.745,28.609
13,26/11/2011,Stoke,Blackburn,3,1,H,52.116,29.402,18.482
13,26/11/2011,Sunderland,Wigan,1,2,A,55.266,29.129,15.605
13,26/11/2011,West Brom,Tottenham,1,3,A,20.204,25.298,54.499
13,27/11/2011,Liverpool,Man City,1,1,D,36.564,27.595,35.841
13,27/11/2011,Swansea,Aston Villa,0,0,D,39.582,30.68,29.738
14,03/12/2011,Aston Villa,Man United,0,1,A,19.669,25.396,54.935
14,03/12/2011,Blackburn,Swansea,4,2,H,31.2,29.827,38.973
14,03/12/2011,Man City,Norwich,5,1,H,79.916,17.261,2.823
14,03/12/2011,Newcastle,Chelsea,0,3,A,64.466,22.521,13.013
14,03/12/2011,QPR,West Brom,1,1,D,46.755,27.848,25.397
14,03/12/2011,Tottenham,Bolton,3,0,H,79.848,15.557,4.595
14,03/12/2011,Wigan,Arsenal,0,4,A,15.319,20.727,63.954
14,04/12/2011,Everton,Stoke,0,1,A,71.299,19.255,9.445
14,04/12/2011,Wolves,Sunderland,2,1,H,39.185,30.092,30.724
14,05/12/2011,Fulham,Liverpool,1,0,H,23.266,25.866,50.868
15,10/12/2011,Arsenal,Everton,1,0,H,67.914,22.289,9.798
15,10/12/2011,Bolton,Aston Villa,1,2,A,30.141,29.51,40.349
15,10/12/2011,Liverpool,QPR,1,0,H,68.628,20.574,10.798
15,10/12/2011,Man United,Wolves,4,1,H,77.215,16.917,5.868
15,10/12/2011,Norwich,Newcastle,4,2,H,32.136,28.943,38.921
15,10/12/2011,Swansea,Fulham,2,0,H,35.088,29.349,35.563
15,10/12/2011,West Brom,Wigan,1,2,A,57.956,26.078,15.966
15,11/12/2011,Stoke,Tottenham,2,1,H,22.449,26.33,51.221
15,11/12/2011,Sunderland,Blackburn,2,1,H,43.064,31.488,25.449
15,12/12/2011,Chelsea,Man City,2,1,H,34.561,21.01,44.429
16,17/12/2011,Blackburn,West Brom,1,2,A,30.46,29.452,40.089
16,17/12/2011,Everton,Norwich,1,1,D,47.181,28.728,24.091
16,17/12/2011,Fulham,Bolton,2,0,H,52.494,29.951,17.555
16,17/12/2011,Newcastle,Swansea,0,0,D,53.602,28.338,18.06
16,17/12/2011,Wigan,Chelsea,1,1,D,8.902,15.969,75.129
16,17/12/2011,Wolves,Stoke,1,2,A,35.035,29.221,35.744
16,18/12/2011,Aston Villa,Liverpool,0,2,A,29.983,28.397,41.62
16,18/12/2011,Man City,Arsenal,1,0,H,58.057,26.108,15.835
16,18/12/2011,QPR,Man United,0,2,A,11.803,18.729,69.468
16,18/12/2011,Tottenham,Sunderland,1,0,H,81.163,15.611,3.226
17,20/12/2011,Blackburn,Bolton,1,2,A,40.322,31.766,27.912
17,20/12/2011,Wolves,Norwich,2,2,D,32.152,30.226,37.622
17,21/12/2011,Aston Villa,Arsenal,1,2,A,26.64,29.534,43.826
17,21/12/2011,Everton,Swansea,1,0,H,53.677,28.635,17.688
17,21/12/2011,Fulham,Man United,0,5,A,17.868,23.608,58.524
17,21/12/2011,Man City,Stoke,3,0,H,73.518,19.262,7.219
17,21/12/2011,Newcastle,West Brom,2,3,A,46.434,31.479,22.087
17,21/12/2011,QPR,Sunderland,2,3,A,42.359,31.543,26.098
17,21/12/2011,Wigan,Liverpool,0,0,D,30.438,28.278,41.284
17,22/12/2011,Tottenham,Chelsea,1,1,D,44.761,27.901,27.337
18,26/12/2011,Bolton,Newcastle,0,2,A,36.163,31.235,32.602
18,26/12/2011,Chelsea,Fulham,1,1,D,64.813,22.294,12.894
18,26/12/2011,Liverpool,Blackburn,1,1,D,78.14,15.699,6.161
18,26/12/2011,Man United,Wigan,5,0,H,81.9,15.742,2.358
18,26/12/2011,Stoke,Aston Villa,0,0,D,68.291,20.97,10.74
18,26/12/2011,Sunderland,Everton,1,1,D,34.313,31.269,34.418
18,26/12/2011,West Brom,Man City,0,0,D,14.019,20.8,65.18
18,27/12/2011,Arsenal,Wolves,1,1,D,79.011,15.579,5.41
18,27/12/2011,Norwich,Tottenham,0,2,A,34.446,29.256,36.298
18,27/12/2011,Swansea,QPR,1,1,D,45.867,31.15,22.983
19,30/12/2011,Liverpool,Newcastle,3,1,H,54.046,26.37,19.584
19,31/12/2011,Arsenal,QPR,1,0,H,77.538,16.158,6.304
19,31/12/2011,Bolton,Wolves,1,1,D,39.607,31.065,29.328
19,31/12/2011,Chelsea,Aston Villa,1,3,A,74.602,18,7.398
19,31/12/2011,Man United,Blackburn,2,3,A,88.994,9.802,1.203
19,31/12/2011,Norwich,Fulham,1,1,D,42.924,31.545,25.53
19,31/12/2011,Stoke,Wigan,2,2,D,57.677,26.093,16.23
19,31/12/2011,Swansea,Tottenham,1,1,D,13.218,20.16,66.622
19,01/01/2012,Sunderland,Man City,1,0,H,8.684,15.709,75.607
19,01/01/2012,West Brom,Everton,0,1,A,45.168,29.871,24.961
20,02/01/2012,Aston Villa,Swansea,0,2,A,57.666,26.641,15.694
20,02/01/2012,Blackburn,Stoke,1,2,A,29.51,30.223,40.267
20,02/01/2012,Fulham,Arsenal,2,1,H,20.95,25.176,53.874
20,02/01/2012,QPR,Norwich,1,2,A,34.223,30.299,35.478
20,02/01/2012,Wolves,Chelsea,1,2,A,27.112,28.976,43.913
20,03/01/2012,Man City,Liverpool,3,0,H,43.686,30.383,25.931
20,03/01/2012,Tottenham,West Brom,1,0,H,68.825,20.575,10.599
20,03/01/2012,Wigan,Sunderland,1,4,A,46.956,31.835,21.209
20,04/01/2012,Everton,Bolton,1,2,A,63.809,23.747,12.444
20,04/01/2012,Newcastle,Man United,3,0,H,26.836,28.689,44.476
20,11/01/2012,Tottenham,Everton,2,0,H,74.148,18.532,7.32
21,14/01/2012,Aston Villa,Everton,1,1,D,56.893,27.262,15.845
21,14/01/2012,Blackburn,Fulham,3,1,H,25.108,28.192,46.7
21,14/01/2012,Chelsea,Sunderland,1,0,H,42.942,29.36,27.698
21,14/01/2012,Liverpool,Stoke,0,0,D,53.843,26.217,19.94
21,14/01/2012,Man United,Bolton,3,0,H,78.782,15.5,5.718
21,14/01/2012,Tottenham,Wolves,1,1,D,82.803,13.673,3.524
21,14/01/2012,West Brom,Norwich,1,2,A,33.798,31.569,34.634
21,15/01/2012,Newcastle,QPR,1,0,H,68.393,20.933,10.674
21,15/01/2012,Swansea,Arsenal,3,2,H,28.384,27.657,43.959
21,16/01/2012,Wigan,Man City,0,1,A,15.361,21.208,63.431
22,21/01/2012,Bolton,Liverpool,3,1,H,18.939,24.364,56.696
22,21/01/2012,Everton,Blackburn,1,1,D,49.083,30.914,20.003
