1,14/08/2010,Aston Villa,West Ham,3,0,H,61.735,23.67,14.596
1,14/08/2010,Blackburn,Everton,1,0,H,36.338,29.781,33.881
1,14/08/2010,Bolton,Fulham,0,0,D,46.863,29.199,23.938
1,14/08/2010,Chelsea,West Brom,6,0,H,89.581,10.227,0.192
1,14/08/2010,Sunderland,Birmingham,2,2,D,44.197,29.679,26.124
1,14/08/2010,Tottenham,Man City,0,0,D,32.82,33.756,33.424
1,14/08/2010,Wigan,Blackpool,0,4,A,53.939,30.156,15.905
1,14/08/2010,Wolves,Stoke,2,1,H,37.778,31.746,30.477
1,15/08/2010,Liverpool,Arsenal,1,1,D,54.007,26.773,19.22
1,16/08/2010,Man United,Newcastle,3,0,H,83.853,14.18,1.966
2,21/08/2010,Arsenal,Blackpool,6,0,H,85.695,12.56,1.746
2,21/08/2010,Birmingham,Blackburn,2,1,H,49.695,28.632,21.673
2,21/08/2010,Everton,Wolves,1,1,D,69.731,20.077,10.192
2,21/08/2010,Stoke,Tottenham,1,2,A,28.289,29.58,42.13
2,21/08/2010,West Brom,Sunderland,1,0,H,36.325,33.216,30.459
2,21/08/2010,West Ham,Bolton,1,3,A,35.012,33.074,31.913
2,21/08/2010,Wigan,Chelsea,0,6,A,6.465,14.345,79.19
2,22/08/2010,Fulham,Man United,2,2,D,12.059,21.442,66.499
2,22/08/2010,Newcastle,Aston Villa,6,0,H,38.277,35.144,26.58
2,23/08/2010,Man City,Liverpool,3,0,H,59.331,24.983,15.686
3,28/08/2010,Blackburn,Arsenal,1,2,A,24.496,31.194,44.31
3,28/08/2010,Blackpool,Fulham,2,2,D,28.272,31.732,39.996
3,28/08/2010,Chelsea,Stoke,2,0,H,84.022,13.905,2.073
3,28/08/2010,Man United,West Ham,3,0,H,84.627,13.711,1.662
3,28/08/2010,Tottenham,Wigan,0,1,A,73.327,17.74,8.934
3,28/08/2010,Wolves,Newcastle,1,1,D,37.192,33.491,29.318
3,29/08/2010,Aston Villa,Everton,1,0,H,44.676,31.63,23.695
3,29/08/2010,Bolton,Birmingham,2,2,D,36.146,32.013,31.84
3,29/08/2010,Liverpool,West Brom,1,0,H,77.822,17.212,4.967
3,29/08/2010,Sunderland,Man City,1,0,H,21.584,21.237,57.179
4,11/09/2010,Arsenal,Bolton,4,1,H,70.751,19.861,9.388
